AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
10KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (10 kg);;;;;;;;;;;;;;;;;;;9,3;10,1;10,95;;;;;;;;;;;;;;;;;;;7,95;9,25;10,55;7,75;9,05;10,35;;;;;;;;;;;;;;;;;;;;;
15KG_STONE_THRUSTING;m;m;STRENGTH;Kraft;Steinstoßen (15 kg);;;;;;;;;;;;;;;;;;;;;;7,7;8,65;9,55;7,45;8,45;9,45;7,1;8,15;9,15;6,75;7,75;8,8;6,1;7,4;8,65;5,5;7,05;8,6;;;;;;;;;;;;;;;;;;;;;;;;;;;
STANDING_LONG_JUMP;m;m;STRENGTH;Kraft;Standweitsprung;1,15;1,35;1,5;1,3;1,5;1,65;1,5;1,7;1,85;1,7;1,9;2,05;1,9;2,05;2,25;2,05;2,2;2,4;2,1;2,3;2,5;2,1;2,3;2,5;2,05;2,25;2,45;1,85;2,1;2,35;1,65;1,95;2,25;1,55;1,85;2,15;1,45;1,75;2,05;1,4;1,7;2;1,35;1,65;1,95;1,3;1,6;1,9;1,3;1,6;1,9;1,25;1,55;1,85;1,2;1,5;1,8;1,15;1,45;1,75;1;1,3;1,6;0,9;1,2;1,5
ARTISTIC_GYMNASTICS_STRENGTH;;;STRENGTH;Kraft;Gerätturnen;Boden;Boden;Boden;Boden;Boden;Boden;Barren;Barren;Barren;Reck;Reck;Reck;Boden;Boden;Boden;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Reck;Boden;Boden;Boden;Boden;Boden;Boden;Reck;Reck;Reck;Reck;Reck;Reck;Barren;Barren;Barren;Barren;Barren;Barren;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden
PUSH_UPS;;;STRENGTH;Kraft;Push-Ups/Liegestützen;;;;;;;;;;;;;;;;;;;23;33;47;23;33;47;22;32;46;21;31;44;19;29;42;17;26;39;15;24;35;13;22;33;11;19;29;10;18;27;9;17;26;9;16;25;9;16;25;7;14;23;7;12;21;6;11;20
CRUNCHES;;;STRENGTH;Kraft;Crunches/Curl-up-Test/Bauchpresse;;;;;;;;;;;;;;;;;;;38;49;62;37;48;62;36;47;61;34;46;59;32;43;57;29;41;54;27;38;51;24;35;48;21;32;45;18;29;42;15;26;39;12;23;36;10;20;33;7;18;31;5;16;29;3;14;27
TRICEPS_DIPS;;;STRENGTH;Kraft;Triceps-Dips/Beugestütz;;;;;;;;;;;;;;;;;;;29;38;49;29;39;50;28;38;50;27;37;48;25;35;46;22;32;44;20;29;41;17;27;38;14;24;35;12;21;32;10;19;30;9;18;29;8;16;27;7;15;25;6;13;22;5;10;19
PULL_UPS;;;STRENGTH;Kraft;Pull-Ups/Klimmzüge;;;;;;;;;;;;;;;;;;;5;11;15;5;12;16;5;12;16;5;11;15;4;10;14;2;9;13;1;7;11;1;6;10;1;4;9;1;4;8;1;3;8;1;3;7;1;2;6;1;2;5;–;1;3;–;1;3
30M_SPRINT;Sek;sec;SPEED;Schnelligkeit;Laufen (30 m);7,7;6,8;6;7,2;6,4;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50M_SPRINT;Sek;sec;SPEED;Schnelligkeit;Laufen (50 m);;;;;;;10,3;9,3;8,4;9,7;8,9;8,1;;;;;;;;;;;;;;;;;;;;;;9,6;8,7;7,7;10;8,9;7,9;10,3;9,1;8,2;10,5;9,4;8,5;10,8;9,7;8,8;11,2;10,2;9,1;11,7;10,7;9,6;12,2;11,2;10,1;13;12;10,9;14,1;13,1;12;15,5;14,5;13,4
