AGE;(UNIT);(UNIT_NORM);(CAT);(CAT_NAME);(NAME);6-7;6-7;6-7;8-9;8-9;8-9;10-11;10-11;10-11;12-13;12-13;12-13;14-15;14-15;14-15;16-17;16-17;16-17;18-19;18-19;18-19;20-24;20-24;20-24;25-29;25-29;25-29;30-34;30-34;30-34;35-39;35-39;35-39;40-44;40-44;40-44;45-49;45-49;45-49;50-54;50-54;50-54;55-59;55-59;55-59;60-64;60-64;60-64;65-69;65-69;65-69;70-74;70-74;70-74;75-79;75-79;75-79;80-84;80-84;80-84;85-89;85-89;85-89;90;90;90
LEVEL;;;;;;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold;Bronze;Silver;Gold
TRICEPS_DIPS;;;STRENGTH;Kraft;Triceps-Dips/Beugestütz;;;;;;;;;;;;;;;;;;;16;21;27;16;21;27;15;20;27;14;20;26;13;19;25;12;18;24;11;17;23;10;15;21;9;14;20;8;13;19;7;12;18;6;11;17;5;10;16;4;9;15;3;8;14;3;7;13
PULL_UPS;;;STRENGTH;Kraft;Pull-Ups/Klimmzüge;;;;;;;;;;;;;;;;;;;1;3;6;1;4;6;1;4;6;1;4;6;1;3;6;1;3;6;1;2;5;1;2;5;1;2;4;1;2;4;1;2;4;1;2;4;1;2;3;1;2;3;–;1;2;–;1;2
30M_SPRINT;Sek;sec;SPEED;Schnelligkeit;Laufen (30 m);8;7,1;6,3;7,4;6,6;5,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50M_SPRINT;Sek;sec;SPEED;Schnelligkeit;Laufen (50 m);;;;;;;11;10,1;9,1;10,6;9,6;8,5;;;;;;;;;;;;;;;;;;;;;;11;9,9;8,8;11,5;10,3;9,1;11,9;10,7;9,5;12,4;11,2;9,9;12,6;11,4;10,2;12,8;11,6;10,4;13;11,8;10,6;13,5;12,3;11,1;14,3;13,1;12;15,5;14,3;13,2;17,1;15,9;14,8
100M_SPRINT;Sek;sec;SPEED;Schnelligkeit;Laufen (100 m);;;;;;;;;;;;;18,6;17;15,5;17,6;16,3;15;18,2;16,5;15,3;18,5;16,8;15,6;18,9;17,2;16;19,6;17,8;16,4;20,4;18,6;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25M_SWIMMING;Sek;sec;SPEED;Schnelligkeit;25 m Schwimmen;46,5;38,5;30,5;42;34;28;39;31,5;25,5;35;29;23,5;33;27,5;21,5;30,5;25,5;20;29,5;24;18,5;29;24;18,5;30;25;19,5;32,5;26,5;21;36;29;22;40;31,5;23,5;44;35;25;48;39;28;51,5;42,5;30,5;54,5;44,5;32,5;56,5;46,5;34,5;59;48;36;61;50;38;63,5;52;40;65,5;53,5;41,5;66,5;54,5;42,5
200M_CYCLING;Sek;sec;SPEED;Schnelligkeit;200 m Radfahren;;;;41;36;31;37;32;27;31;27;23,5;27;24,5;21,5;25;22,5;20;24;22;19,5;24,5;22;19,5;25;22,5;20;26;23,5;21,5;27,5;24,5;22;29;25,5;22,5;30,5;27;23;32;28;23,5;33,5;29;24;35;30;25;36;31;25,5;38;32;26,5;39;33;27,5;40,5;34,5;28,5;42;36;30;44,5;38;31,5
ARTISTIC_GYMNASTICS_SPEED;;;SPEED;Schnelligkeit;Gerätturnen;Sprung;Sprung;Sprung;Boden;Boden;Boden;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Boden;Boden;Boden;Boden;Boden;Boden;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung;Sprung
HIGH_JUMP;m;m;COORDINATION;Koordination;Hochsprung;;;;;;;0,8;0,9;1;0,9;1;1,1;0,95;1,05;1,15;1,05;1,15;1,25;1,1;1,2;1,3;1,1;1,2;1,3;1,05;1,15;1,25;1;1,1;1,2;0,95;1,05;1,15;0,9;1;1,1;0,9;1;1,1;0,85;0,95;1,05;0,8;0,9;1;0,75;0,85;0,95;0,75;0,85;0,95;0,7;0,8;0,9;0,65;0,75;0,85;0,65;0,75;0,85;0,6;0,7;0,8;0,55;0,6;0,65
ZONE_LONG_JUMP;Punkte;;COORDINATION;Koordination;Zonenweitsprung;18;21;24;24;27;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LONG_JUMP;m;m;COORDINATION;Koordination;Weitsprung;;;;;;;2,3;2,6;2,9;2,8;3,1;3,4;3,2;3,5;3,8;3,4;3,7;4;3,4;3,7;4;3,4;3,7;4;3,3;3,6;3,9;3,2;3,5;3,8;3,1;3,4;3,7;3;3,3;3,6;2,8;3,2;3,5;2,6;3;3,4;2,5;2,9;3,3;2,4;2,8;3,2;2,3;2,7;3,1;2,1;2,5;2,9;1,8;2,2;2,6;1,6;2;2,4;1,3;1,7;2,1;1,1;1,5;1,9
TWISTING_THROW;Punkte;;COORDINATION;Koordination;Drehwurf;12;15;21;18;21;27;27;30;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SLINGSHOT_BALL;m;m;COORDINATION;Koordination;Schleuderball (1 kg);;;;;;;;;;17;19,5;22;19,5;22,5;25,5;22;25;28;23,5;26,5;29;24;27;29,5;24;27;29,5;22;25;27,5;21;24;26,5;19,5;22,5;25;18,5;21,5;24;16,5;20;23;15,5;19;22;14,5;18;21;13,5;17;20;13;16,5;19,5;12;15,5;18,5;11;14,5;17,5;9,5;13;16;7,5;11;14
SKIP_ROPE_TECHNIC;;;COORDINATION;Koordination;Seilspringen (Technik);Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Doppeldurchschlag mit oder ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Kreuzdurchschlag ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Laufschritt = Jogging-Step ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung rückwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts ohne Zwischensprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung;Grundsprung vorwärts mit oder ohne Zwischensprung ODER Galoppsprung
SKIP_ROPE_AMOUNT;;;COORDINATION;Koordination;Seilspringen;10;15;25;10;15;25;20;30;40;10;20;30;10;15;20;10;15;20;5;10;15;5;10;15;5;10;15;10;15;20;10;15;20;40;60;80;40;60;80;10;20;30;10;20;30;10;20;30;10;20;30;8;14;18;8;14;18;6;10;12;6;10;12;4;6;8
ARTISTIC_GYMNASTICS_COORDINATION;;;COORDINATION;Koordination;Gerätturnen;Schwebebalken;Schwebebalken;Schwebebalken;Reck;Reck;Reck;Ringe;Ringe;Ringe;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Boden;Ringe;Ringe;Ringe;Ringe;Ringe;Ringe;Reck;Reck;Reck;Reck;Reck;Reck;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken;Schwebebalken
